Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
MAC,Macerich Co/The,893,252,"1,145",20,57,45,13,,
CMRE,Costamare Inc,834,311,"1,145",20,57,42,16,,
CNP,CenterPoint Energy Inc,"1,093",49,"1,142",20,57,55,2,,
SB,Safe Bulkers Inc,818,324,"1,142",20,57,41,16,,
UBNT,Ubiquiti Networks Inc,700,442,"1,142",20,57,35,22,,
KIN,Kindred Biosciences Inc,973,164,"1,137",20,57,49,8,,
DIN,DineEquity Inc,502,632,"1,134",20,57,25,32,,
COLM,Columbia Sportswear Co,231,900,"1,131",20,57,12,45,,
CSTM,Constellium NV,"1,054",76,"1,130",20,57,53,4,,
BPT,BP Prudhoe Bay Royalty Trust,618,509,"1,127",20,56,31,25,,
TEO,Telecom Argentina SA,603,523,"1,126",20,56,30,26,,
NAP,Navios Maritime Midstream Partners LP,656,468,"1,124",20,56,33,23,,
WPZ,Williams Partners LP,827,296,"1,123",20,56,41,15,,
OSUR,OraSure Technologies Inc,790,333,"1,123",20,56,40,17,,
AMED,Amedisys Inc,239,883,"1,122",20,56,12,44,,
AMSC,American Superconductor Corp,971,149,"1,120",20,56,49,7,,
XBIT,XBiotech Inc,291,829,"1,120",20,56,15,41,,
JONE,Jones Energy Inc,765,354,"1,119",20,56,38,18,,
MDP,Meredith Corp,584,533,"1,117",20,56,29,27,,
SJM,JM Smucker Co/The,672,442,"1,114",20,56,34,22,,
INST,Instructure Inc,319,795,"1,114",20,56,16,40,,
OLLI,Ollie's Bargain Outlet Holdings Inc,939,174,"1,113",20,56,47,9,,
JBL,Jabil Inc,726,381,"1,107",20,55,36,19,,
PEI,Pennsylvania Real Estate Investment Trust,791,315,"1,106",20,55,40,16,,
TRTN,Triton International Ltd/Bermuda,692,414,"1,106",20,55,35,21,,
STWD,Starwood Property Trust Inc,288,816,"1,104",20,55,14,41,,
ALV,Autoliv Inc,424,678,"1,102",20,55,21,34,,
WAB,Wabtec Corp/DE,209,893,"1,102",20,55,10,45,,
CFX,Colfax Corp,"1,035",59,"1,094",20,55,52,3,,
CP,Canadian Pacific Railway Ltd,631,463,"1,094",20,55,32,23,,
MKSI,MKS Instruments Inc,836,257,"1,093",20,55,42,13,,
PPC,Pilgrim's Pride Corp,620,473,"1,093",20,55,31,24,,
SMG,Scotts Miracle-Gro Co/The,754,337,"1,091",20,55,38,17,,
ACOR,Acorda Therapeutics Inc,865,225,"1,090",20,55,43,11,,
VSH,Vishay Intertechnology Inc,644,443,"1,087",20,54,32,22,,
LAMR,Lamar Advertising Co,500,585,"1,085",20,54,25,29,,
MCO,Moody's Corp,494,591,"1,085",20,54,25,30,,
CAH,Cardinal Health Inc,763,319,"1,082",20,54,38,16,,
VNOM,Viper Energy Partners LP,"1,047",31,"1,078",20,54,52,2,,
HDP,Hortonworks Inc,533,545,"1,078",20,54,27,27,,
OMEX,Odyssey Marine Exploration Inc,757,320,"1,077",20,54,38,16,,
BLDR,Builders FirstSource Inc,"1,057",19,"1,076",20,54,53,1,,
VTR,Ventas Inc,841,235,"1,076",20,54,42,12,,
HOME,At Home Group Inc,649,427,"1,076",20,54,32,21,,
UL,Unilever PLC,962,112,"1,074",20,54,48,6,,
LSCC,Lattice Semiconductor Corp,"1,066",6,"1,072",20,54,53,0,,
ANFI,Amira Nature Foods Ltd,708,364,"1,072",20,54,35,18,,
NEON,Neonode Inc,"1,072",0,"1,072",20,54,54,0,,
BC,Brunswick Corp/DE,397,672,"1,069",20,53,20,34,,
CI,Cigna Corp,639,429,"1,068",20,53,32,21,,
ORC,Orchid Island Capital Inc,183,879,"1,062",20,53,9,44,,
HCP,HCP Inc,723,338,"1,061",20,53,36,17,,
AKAO,Achaogen Inc,533,526,"1,059",20,53,27,26,,
LHO,LaSalle Hotel Properties,32,"1,025","1,057",20,53,2,51,,
SRCL,Stericycle Inc,247,797,"1,044",20,52,12,40,,
FRGI,Fiesta Restaurant Group Inc,106,937,"1,043",20,52,5,47,,
HLX,Helix Energy Solutions Group Inc,982,60,"1,042",20,52,49,3,,
SAGE,Sage Therapeutics Inc,893,149,"1,042",20,52,45,7,,
CXW,CoreCivic Inc,834,208,"1,042",20,52,42,10,,
EGRX,Eagle Pharmaceuticals Inc/DE,723,318,"1,041",20,52,36,16,,
MGI,MoneyGram International Inc,85,955,"1,040",20,52,4,48,,
CIM,Chimera Investment Corp,803,236,"1,039",20,52,40,12,,
CAVM,Cavium Inc,645,394,"1,039",20,52,32,20,,
HOV,Hovnanian Enterprises Inc,560,477,"1,037",20,52,28,24,,
OZRK,Bank of the Ozarks,580,456,"1,036",20,52,29,23,,
MPW,Medical Properties Trust Inc,356,680,"1,036",20,52,18,34,,
RJF,Raymond James Financial Inc,933,102,"1,035",20,52,47,5,,
DSW,DSW Inc,805,228,"1,033",20,52,40,11,,
AERI,Aerie Pharmaceuticals Inc,687,346,"1,033",20,52,34,17,,
TDG,TransDigm Group Inc,217,815,"1,032",20,52,11,41,,
APD,Air Products & Chemicals Inc,740,291,"1,031",20,52,37,15,,
BBD,Banco Bradesco SA,856,173,"1,029",20,51,43,9,,
AYI,Acuity Brands Inc,271,749,"1,020",20,51,14,37,,
ARCO,Arcos Dorados Holdings Inc,797,216,"1,013",20,51,40,11,,
