Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
EMES,Emerge Energy Services LP,"1,520",581,"2,101",23,91,66,25,
GSAT,Globalstar Inc,"1,863",229,"2,092",23,91,81,10,
GFI,Gold Fields Ltd,"1,635",454,"2,089",23,91,71,20,
MVIS,MicroVision Inc,"1,890",190,"2,080",23,90,82,8,
CHU,China Unicom Hong Kong Ltd,"2,045",31,"2,076",23,90,89,1,
BRFS,BRF SA,"1,671",400,"2,071",23,90,73,17,
YEXT,Yext Inc,948,"1,119","2,067",23,90,41,49,
NYCB,New York Community Bancorp Inc,996,"1,070","2,066",23,90,43,47,
FOX,Twenty-First Century Fox Inc,360,"1,704","2,064",23,90,16,74,
FND,Floor & Decor Holdings Inc,"1,387",673,"2,060",23,90,60,29,
YUME,YuMe Inc,"1,911",144,"2,055",23,89,83,6,
SNE,Sony Corp,"1,227",827,"2,054",23,89,53,36,
HDB,HDFC Bank Ltd,"1,894",158,"2,052",23,89,82,7,
MAS,Masco Corp,"1,301",738,"2,039",23,89,57,32,
EAT,Brinker International Inc,620,"1,418","2,038",23,89,27,62,
FANG,Diamondback Energy Inc,884,"1,152","2,036",23,89,38,50,
O,Realty Income Corp,"1,069",966,"2,035",23,88,46,42,
SA,Seabridge Gold Inc,"1,525",508,"2,033",23,88,66,22,
FRO,Frontline Ltd/Bermuda,"1,402",629,"2,031",23,88,61,27,
VUZI,Vuzix Corp,"1,424",605,"2,029",23,88,62,26,
KND,Kindred Healthcare Inc,831,"1,187","2,018",23,88,36,52,
BDX,Becton Dickinson and Co,815,"1,201","2,016",23,88,35,52,
SDLP,Seadrill Partners LLC,"1,345",664,"2,009",23,87,58,29,
PCAR,PACCAR Inc,"1,494",499,"1,993",23,87,65,22,
DHT,DHT Holdings Inc,"1,992",0,"1,992",23,87,87,0,
ANW,Aegean Marine Petroleum Network Inc,"1,209",766,"1,975",23,86,53,33,
TPH,TRI Pointe Group Inc,348,"1,622","1,970",23,86,15,71,
MUR,Murphy Oil Corp,971,995,"1,966",23,85,42,43,
AGO,Assured Guaranty Ltd,"1,739",220,"1,959",23,85,76,10,
TEAM,Atlassian Corp PLC,"1,309",644,"1,953",23,85,57,28,
IGT,International Game Technology PLC,"1,546",404,"1,950",23,85,67,18,
LZB,La-Z-Boy Inc,768,"1,181","1,949",23,85,33,51,
INSY,Insys Therapeutics Inc,"1,164",776,"1,940",23,84,51,34,
MASI,Masimo Corp,"1,170",758,"1,928",23,84,51,33,
ZION,Zions Bancorporation,"1,182",742,"1,924",23,84,51,32,
DIN,DineEquity Inc,905,999,"1,904",23,83,39,43,
